station_name,location,datetime_local,scraped_at,aqi,aqi_category,main_pollutant,pollutant_density,temperature,humidity,wind_speed,pressure
Taman Patra,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:24:53,129,Tidak sehat bagi kelompok sensitif,PM2.5,47 µg/m³,30°C,75%,11 km/h,1012 mbar
Wisma Matahari Power,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:25:19,151,Tidak sehat,PM2.5,56 µg/m³,30°C,75%,11 km/h,1012 mbar
INDODAX,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:25:45,118,Tidak sehat bagi kelompok sensitif,PM2.5,42.5 µg/m³,30°C,75%,11 km/h,1012 mbar
Kemang Timur V,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:26:15,115,Tidak sehat bagi kelompok sensitif,PM2.5,41 µg/m³,30°C,75%,11 km/h,1012 mbar
Cipete Selatan Asem II,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:26:47,110,Tidak sehat bagi kelompok sensitif,PM2.5,39 µg/m³,30°C,75%,11 km/h,1012 mbar
ERASMUS HUIS DUTCH CULTURAL CENTER,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:27:17,128,Tidak sehat bagi kelompok sensitif,PM2.5,46.3 µg/m³,30°C,75%,11 km/h,1012 mbar
Cilandak Barat,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:27:49,124,Tidak sehat bagi kelompok sensitif,PM2.5,45 µg/m³,30°C,75%,11 km/h,1012 mbar
AHP Capital Place,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:28:20,154,Tidak sehat,PM2.5,60 µg/m³,30°C,75%,11 km/h,1012 mbar
"Rambutan, Ciracas","Rambutan, Ciracas","10.00, Mar 31 Waktu setempat",2026-03-31 10:28:52,108,Tidak sehat bagi kelompok sensitif,PM2.5,38.5 µg/m³,30°C,75%,11 km/h,1012 mbar
idsMED - JKT - Wisma 76,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:29:23,106,Tidak sehat bagi kelompok sensitif,PM2.5,37.5 µg/m³,30°C,75%,9 km/h,1012 mbar
Pakis,"Indonesia, Banten, South Tangerang","10.00, Mar 31 Waktu setempat",2026-03-31 10:29:51,117,Tidak sehat bagi kelompok sensitif,PM2.5,42 µg/m³,30°C,68%,9 km/h,1008 mbar
Jeruk Purut,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:30:23,163,Tidak sehat,PM2.5,72 µg/m³,30°C,75%,11 km/h,1012 mbar
KJ.O,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:31:23,139,Tidak sehat bagi kelompok sensitif,PM2.5,51 µg/m³,30°C,70%,9 km/h,1012 mbar
The RBS - AirVisual Outdoor,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:31:54,152,Tidak sehat,PM2.5,57 µg/m³,30°C,75%,11 km/h,1012 mbar
Graha LMU,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:32:24,159,Tidak sehat,PM2.5,67 µg/m³,30°C,75%,11 km/h,1012 mbar
Jakarta Atmaya residences,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:32:57,96,Sedang,PM2.5,33 µg/m³,30°C,75%,11 km/h,1012 mbar
Kemang V,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:33:28,137,Tidak sehat bagi kelompok sensitif,PM2.5,50 µg/m³,30°C,75%,11 km/h,1012 mbar
"Widya Chandra, JK","Widya Chandra, JK","10.00, Mar 31 Waktu setempat",2026-03-31 10:33:59,130,Tidak sehat bagi kelompok sensitif,PM2.5,47.3 µg/m³,30°C,75%,11 km/h,1012 mbar
Cipaku IV,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:34:30,147,Tidak sehat bagi kelompok sensitif,PM2.5,54 µg/m³,30°C,75%,11 km/h,1012 mbar
Puri Indah,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:35:02,165,Tidak sehat,PM2.5,75 µg/m³,30°C,70%,9 km/h,1012 mbar
Radiant Group Building,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:35:42,124,Tidak sehat bagi kelompok sensitif,PM2.5,45 µg/m³,30°C,75%,11 km/h,1012 mbar
Simprug THL Area,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:36:13,117,Tidak sehat bagi kelompok sensitif,PM2.5,42 µg/m³,30°C,75%,11 km/h,1012 mbar
"Duitku PG, Kebon Jeruk","Duitku PG, Kebon Jeruk","10.00, Mar 31 Waktu setempat",2026-03-31 10:36:40,147,Tidak sehat bagi kelompok sensitif,PM2.5,54 µg/m³,30°C,70%,9 km/h,1012 mbar
Gran Melia Jakarta,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:40:16,144,Tidak sehat bagi kelompok sensitif,PM2.5,53 µg/m³,30°C,75%,11 km/h,1012 mbar
